name,brand,price_raw,price_clean,old_price_clean,discount_percentage,rating_score,review_count,category,image,url,metadata_profile
Kånken Laptop 15'',Fjällräven,"ab 110,46 €",110.46,129.95,15.0,4.7,7,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-6948-0411_pic1_1.jpg,https://www.bergfreunde.de/fjaellraeven-kaanken-laptop-15-daypack/,Brand: Fjällräven. Product Name: Kånken Laptop 15''. Category: rucksaecke. Priced at 110.46 EUR with a 15.0% discount. This highly rated gear scored 4.7 out of 5 based on 7 customer reviews.
Trailblazer 10,Salomon,"64,95 €",64.95,64.95,0.0,5.0,6,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-8390-0211_pic1_1.jpg,https://www.bergfreunde.de/salomon-trailblazer-10-daypack/,Brand: Salomon. Product Name: Trailblazer 10. Category: rucksaecke. Priced at 64.95 EUR with a 0.0% discount. This highly rated gear scored 5.0 out of 5 based on 6 customer reviews.
Kid's Zoo Backpack 8,Mikk-Line,"ab 36,35 €",36.35,36.35,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_508-0787-0211_pic1_1.jpg,https://www.bergfreunde.de/mikk-line-kids-zoo-backpack-8-kinderrucksack/,Brand: Mikk-Line. Product Name: Kid's Zoo Backpack 8. Category: rucksaecke. Priced at 36.35 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
Evac Compression Dry Bag UL,Sea to Summit,"ab 27,25 €",27.25,27.25,0.0,5.0,4,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_559-0579-0211_pic1_1.jpg,https://www.bergfreunde.de/sea-to-summit-evac-compression-dry-bag-ul-packsack/,Brand: Sea to Summit. Product Name: Evac Compression Dry Bag UL. Category: rucksaecke. Priced at 27.25 EUR with a 0.0% discount. This highly rated gear scored 5.0 out of 5 based on 4 customer reviews.
Kajka 75,Fjällräven,"343,96 €",343.96,429.95,20.0,5.0,6,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_505-0858-0411_pic1_1.jpg,https://www.bergfreunde.de/fjaellraeven-kajka-75-trekkingrucksack/,Brand: Fjällräven. Product Name: Kajka 75. Category: rucksaecke. Priced at 343.96 EUR with a 20.0% discount. This highly rated gear scored 5.0 out of 5 based on 6 customer reviews.
Ultralight Stuff Pack 18,Osprey,"ab 45,45 €",45.45,45.45,0.0,5.0,3,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-7158-0611_pic1_1.jpg,https://www.bergfreunde.de/osprey-ultralight-stuff-pack-18-daypack/,Brand: Osprey. Product Name: Ultralight Stuff Pack 18. Category: rucksaecke. Priced at 45.45 EUR with a 0.0% discount. This highly rated gear scored 5.0 out of 5 based on 3 customer reviews.
Aether Plus 100,Osprey,"355,96 €",355.96,399.95,11.0,5.0,1,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_505-0618-0211_pic1_1.jpg,https://www.bergfreunde.de/osprey-aether-plus-100-trekkingrucksack/,Brand: Osprey. Product Name: Aether Plus 100. Category: rucksaecke. Priced at 355.96 EUR with a 11.0% discount. This highly rated gear scored 5.0 out of 5 based on 1 customer reviews.
Skule 20,Fjällräven,"ab 97,86 €",97.86,109.95,11.0,5.0,3,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-8007-0811_pic1_1.jpg,https://www.bergfreunde.de/fjaellraeven-skule-20-daypack/,Brand: Fjällräven. Product Name: Skule 20. Category: rucksaecke. Priced at 97.86 EUR with a 11.0% discount. This highly rated gear scored 5.0 out of 5 based on 3 customer reviews.
Lithium 30,Mammut,"111,96 €",111.96,139.95,20.0,4.3,3,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-6447-0211_pic1_1.jpg,https://www.bergfreunde.de/mammut-lithium-30-wanderrucksack/,Brand: Mammut. Product Name: Lithium 30. Category: rucksaecke. Priced at 111.96 EUR with a 20.0% discount. This highly rated gear scored 4.3 out of 5 based on 3 customer reviews.
Summit Run Belt,The North Face,"41,95 €",41.95,41.95,0.0,3.0,1,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_510-5529-0211_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-summit-run-belt-huefttasche/,Brand: The North Face. Product Name: Summit Run Belt. Category: rucksaecke. Priced at 41.95 EUR with a 0.0% discount. This highly rated gear scored 3.0 out of 5 based on 1 customer reviews.
Ultralight Pack Liner,Osprey,"ab 30,22 €",30.22,33.95,10.99,5.0,3,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_559-0621-0111_pic1_1.jpg,https://www.bergfreunde.de/osprey-ultralight-pack-liner-packsack/,Brand: Osprey. Product Name: Ultralight Pack Liner. Category: rucksaecke. Priced at 30.22 EUR with a 10.99% discount. This highly rated gear scored 5.0 out of 5 based on 3 customer reviews.
Saruk Pro 90,Lundhags,"427,16 €",427.16,479.95,11.0,5.0,1,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_505-0769-0111_pic1_1.jpg,https://www.bergfreunde.de/lundhags-saruk-pro-90-trekkingrucksack/,Brand: Lundhags. Product Name: Saruk Pro 90. Category: rucksaecke. Priced at 427.16 EUR with a 11.0% discount. This highly rated gear scored 5.0 out of 5 based on 1 customer reviews.
Allpa 18 Daypack Del Dia,Cotopaxi,"123,45 €",123.45,123.45,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_504-1256-0111_pic1_1.jpg,https://www.bergfreunde.de/cotopaxi-allpa-18-daypack-del-dia-daypack/,Brand: Cotopaxi. Product Name: Allpa 18 Daypack Del Dia. Category: rucksaecke. Priced at 123.45 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
